Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
   346	-1.99126e-13	1.8e-08	3.3e-08
   347	-1.5018e-13	1.8e-08	3.3e-08
   348	-8.76801e-14	1.8e-08	3.3e-08
   349	-1.24286e-13	1.8e-08	3.3e-08
   350	-1.18317e-13	1.8e-08	3.3e-08
   351	-1.45314e-13	1.8e-08	3.3e-08
   352	-2.27553e-13	1.8e-08	3.3e-08
   353	-2.18108e-13	1.8e-08	3.3e-08
   354	-1.10583e-13	1.8e-08	3.3e-08
   355	-7.42722e-14	1.8e-08	3.3e-08
   356	-1.70265e-13	1.8e-08	3.3e-08
   357	-1.61559e-13	1.8e-08	3.3e-08
   358	-1.85712e-13	1.8e-08	3.3e-08
   359	-1.44532e-13	1.8e-08	3.3e-08
   360	-1.43894e-13	1.8e-08	3.3e-08
   361	-7.79037e-14	1.8e-08	3.3e-08
   362	-9.19294e-14	1.8e-08	3.3e-08
   363	-2.03758e-13	1.8e-08	3.3e-08
   364	-8.64816e-14	1.8e-08	3.3e-08
   365	-2.17184e-13	1.8e-08	3.3e-08
   366	-1.15368e-13	1.8e-08	3.3e-08
   367	-2.14137e-13	1.8e-08	3.3e-08
   368	-7.80807e-14	1.8e-08	3.3e-08
   369	-1.43709e-13	1.8e-08	3.3e-08
   370	-1.61174e-13	1.8e-08	3.3e-08
   371	-1.11494e-13	1.8e-08	3.3e-08
   372	-1.92011e-13	1.8e-08	3.3e-08
   373	-1.39891e-13	1.8e-08	3.3e-08
   374	-1.17125e-13	1.8e-08	3.3e-08
   375	-1.05518e-13	1.8e-08	3.3e-08
   376	-1.21803e-13	1.8e-08	3.3e-08
   377	-8.01949e-14	1.8e-08	3.3e-08
   378	-1.30715e-13	1.8e-08	3.3e-08
   379	-1.47716e-13	1.8e-08	3.3e-08
   380	-1.3496e-13	1.8e-08	3.3e-08
   381	-1.29769e-13	1.8e-08	3.3e-08
   382	-1.90356e-13	1.8e-08	3.3e-08
   383	-2.04081e-13	1.8e-08	3.3e-08
   384	-1.2447e-13	1.8e-08	3.3e-08
   385	-1.89265e-13	1.8e-08	3.3e-08
   386	-1.83958e-13	1.8e-08	3.3e-08
   387	-1.96392e-13	1.8e-08	3.3e-08
   388	-7.72837e-14	1.8e-08	3.3e-08
   389	-2.10397e-13	1.8e-08	3.3e-08
   390	-1.02672e-13	1.8e-08	3.3e-08
   391	-8.39196e-14	1.8e-08	3.3e-08
   392	-2.24962e-13	1.8e-08	3.3e-08
   393	-8.67955e-14	1.8e-08	3.3e-08
   394	-1.0533e-13	1.8e-08	3.3e-08
   395	-1.98131e-13	1.8e-08	3.3e-08
   396	-6.85159e-14	1.8e-08	3.3e-08
   397	-1.95174e-13	1.8e-08	3.3e-08
   398	-2.06845e-13	1.8e-08	3.3e-08
   399	-7.40052e-14	1.8e-08	3.3e-08
   400	-1.32944e-13	1.8e-08	3.3e-08
   401	-7.13638e-14	1.8e-08	3.3e-08
   402	-1.75539e-13	1.8e-08	3.3e-08
   403	-1.62451e-13	1.8e-08	3.3e-08
   404	-9.82829e-14	1.8e-08	3.3e-08
   405	-2.17949e-13	1.8e-08	3.3e-08
   406	-8.58757e-14	1.8e-08	3.3e-08
   407	-2.16557e-13	1.8e-08	3.3e-08
   408	-1.70657e-13	1.8e-08	3.3e-08
   409	-1.91679e-13	1.8e-08	3.3e-08
   410	-2.20043e-13	1.8e-08	3.3e-08
   411	-2.1349e-13	1.8e-08	3.3e-08
   412	-1.98583e-13	1.8e-08	3.3e-08
   413	-9.74241e-14	1.8e-08	3.3e-08
   414	-1.90233e-13	1.8e-08	3.3e-08
   415	-1.36347e-13	1.8e-08	3.3e-08
   416	-2.1317e-13	1.8e-08	3.3e-08
   417	-8.81633e-14	1.8e-08	3.3e-08
   418	-9.38378e-14	1.8e-08	3.3e-08
   419	-1.57713e-13	1.8e-08	3.3e-08
   420	-1.7462e-13	1.8e-08	3.3e-08
   421	-8.39737e-14	1.8e-08	3.3e-08
   422	-9.71234e-14	1.8e-08	3.3e-08
   423	-6.92566e-14	1.8e-08	3.3e-08
   424	-1.44285e-13	1.8e-08	3.3e-08
   425	-9.69509e-14	1.8e-08	3.3e-08
   426	-1.02572e-13	1.8e-08	3.3e-08
   427	-2.33759e-13	1.8e-08	3.3e-08
   428	-1.65785e-13	1.8e-08	3.3e-08
   429	-1.44149e-13	1.8e-08	3.3e-08
   430	-1.90394e-13	1.8e-08	3.3e-08
   431	-2.18736e-13	1.8e-08	3.3e-08
   432	-2.07714e-13	1.8e-08	3.3e-08
   433	-1.59336e-13	1.8e-08	3.3e-08
   434	-1.00219e-13	1.8e-08	3.3e-08
   435	-2.02292e-13	1.8e-08	3.3e-08
   436	-1.2501e-13	1.8e-08	3.3e-08
   437	-1.41069e-13	1.8e-08	3.3e-08
   438	-6.72015e-14	1.8e-08	3.3e-08
   439	-9.48393e-14	1.8e-08	3.3e-08
   440	-8.30448e-14	1.8e-08	3.3e-08
   441	-1.01226e-13	1.8e-08	3.3e-08
   442	-1.71673e-13	1.8e-08	3.3e-08
   443	-1.12854e-13	1.8e-08	3.3e-08
   444	-1.428e-13	1.8e-08	3.3e-08
   445	-2.10377e-13	1.8e-08	3.3e-08
   446	-2.56488e-13	1.8e-08	3.3e-08
   447	-1.0413e-13	1.8e-08	3.3e-08
   448	-1.01351e-13	1.8e-08	3.3e-08
   449	-1.09494e-13	1.8e-08	3.3e-08
   450	-1.28535e-13	1.8e-08	3.3e-08
   451	-8.03621e-14	1.8e-08	3.3e-08
   452	-1.7371e-13	1.8e-08	3.3e-08
   453	-1.55112e-13	1.8e-08	3.3e-08
   454	-1.86885e-13	1.8e-08	3.3e-08
   455	-2.14621e-13	1.8e-08	3.3e-08
   456	-1.19617e-13	1.8e-08	3.3e-08
   457	-1.69948e-13	1.8e-08	3.3e-08
   458	-1.77943e-13	1.8e-08	3.3e-08
   459	-8.67431e-14	1.8e-08	3.3e-08
   460	-8.69662e-14	1.8e-08	3.3e-08
   461	-9.54333e-14	1.8e-08	3.3e-08
   462	-1.66794e-13	1.8e-08	3.3e-08
   463	-1.01809e-13	1.8e-08	3.3e-08
   464	-1.09639e-13	1.8e-08	3.3e-08
   465	-1.59856e-13	1.8e-08	3.3e-08
   466	-1.63828e-13	1.8e-08	3.3e-08
   467	-1.69471e-13	1.8e-08	3.3e-08
   468	-1.14213e-13	1.8e-08	3.3e-08
   469	-1.33814e-13	1.8e-08	3.3e-08
   470	-1.10509e-13	1.8e-08	3.3e-08
   471	-7.25292e-14	1.8e-08	3.3e-08
   472	-1.93323e-13	1.8e-08	3.3e-08
   473	-1.36056e-13	1.8e-08	3.3e-08
   474	-8.21741e-14	1.8e-08	3.3e-08
   475	-1.67458e-13	1.8e-08	3.3e-08
   476	-1.37861e-13	1.8e-08	3.3e-08
   477	-1.8654e-13	1.8e-08	3.3e-08
   478	-1.87004e-13	1.8e-08	3.3e-08
   479	-2.23143e-13	1.8e-08	3.3e-08
   480	-1.55708e-13	1.8e-08	3.3e-08
