Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
   431	1.80055e-10	2.0015e-08	2.01951e-08
   432	1.78081e-10	2.0015e-08	2.01931e-08
   433	2.15425e-10	2.0015e-08	2.02304e-08
   434	1.63257e-10	2.0015e-08	2.01783e-08
   435	1.7744e-10	2.0015e-08	2.01924e-08
   436	1.62761e-10	2.0015e-08	2.01778e-08
   437	1.63509e-10	2.0015e-08	2.01785e-08
   438	2.10609e-10	2.0015e-08	2.02256e-08
   439	1.59908e-10	2.0015e-08	2.01749e-08
   440	1.77546e-10	2.0015e-08	2.01925e-08
   441	1.89901e-10	2.0015e-08	2.02049e-08
   442	2.92772e-10	2.0015e-08	2.03078e-08
   443	2.42123e-10	2.0015e-08	2.02571e-08
   444	1.96733e-10	2.0015e-08	2.02117e-08
   445	1.77837e-10	2.0015e-08	2.01928e-08
   446	2.73279e-10	2.0015e-08	2.02883e-08
   447	1.58988e-10	2.0015e-08	2.0174e-08
   448	1.62394e-10	2.0015e-08	2.01774e-08
   449	1.67224e-10	2.0015e-08	2.01822e-08
   450	1.79569e-10	2.0015e-08	2.01946e-08
   451	1.66494e-10	2.0015e-08	2.01815e-08
   452	1.75914e-10	2.0015e-08	2.01909e-08
   453	1.68317e-10	2.0015e-08	2.01833e-08
   454	1.81019e-10	2.0015e-08	2.0196e-08
   455	1.8705e-10	2.0015e-08	2.0202e-08
   456	1.73838e-10	2.0015e-08	2.01888e-08
   457	1.76017e-10	2.0015e-08	2.0191e-08
   458	1.88259e-10	2.0015e-08	2.02033e-08
   459	1.93219e-10	2.0015e-08	2.02082e-08
   460	1.71587e-10	2.0015e-08	2.01866e-08
   461	1.722e-10	2.0015e-08	2.01872e-08
   462	2.52238e-10	2.0015e-08	2.02672e-08
   463	1.59332e-10	2.0015e-08	2.01743e-08
   464	1.87261e-10	2.0015e-08	2.02023e-08
   465	1.71722e-10	2.0015e-08	2.01867e-08
   466	1.75922e-10	2.0015e-08	2.01909e-08
   467	1.69832e-10	2.0015e-08	2.01848e-08
   468	1.60673e-10	2.0015e-08	2.01757e-08
   469	2.46474e-10	2.0015e-08	2.02615e-08
   470	1.62471e-10	2.0015e-08	2.01775e-08
   471	2.33492e-10	2.0015e-08	2.02485e-08
   472	1.78698e-10	2.0015e-08	2.01937e-08
   473	1.63533e-10	2.0015e-08	2.01785e-08
   474	1.94127e-10	2.0015e-08	2.02091e-08
   475	1.72064e-10	2.0015e-08	2.01871e-08
   476	1.73534e-10	2.0015e-08	2.01885e-08
   477	1.84062e-10	2.0015e-08	2.01991e-08
   478	1.73156e-10	2.0015e-08	2.01882e-08
   479	1.91431e-10	2.0015e-08	2.02064e-08
   480	1.66558e-10	2.0015e-08	2.01816e-08
   481	1.64812e-10	2.0015e-08	2.01798e-08
   482	2.37862e-10	2.0015e-08	2.02529e-08
   483	1.75669e-10	2.0015e-08	2.01907e-08
   484	1.76917e-10	2.0015e-08	2.01919e-08
   485	1.7012e-10	2.0015e-08	2.01851e-08
   486	2.151e-10	2.0015e-08	2.02301e-08
   487	1.76611e-10	2.0015e-08	2.01916e-08
   488	1.63239e-10	2.0015e-08	2.01782e-08
   489	1.71392e-10	2.0015e-08	2.01864e-08
   490	1.7062e-10	2.0015e-08	2.01856e-08
   491	3.31361e-10	2.0015e-08	2.03464e-08
   492	1.59484e-10	2.0015e-08	2.01745e-08
   493	1.61299e-10	2.0015e-08	2.01763e-08
   494	1.78899e-10	2.0015e-08	2.01939e-08
   495	1.8102e-10	2.0015e-08	2.0196e-08
   496	1.66669e-10	2.0015e-08	2.01817e-08
   497	1.76261e-10	2.0015e-08	2.01913e-08
   498	2.77748e-10	2.0015e-08	2.02927e-08
   499	1.85609e-10	2.0015e-08	2.02006e-08
   500	1.73601e-10	2.0015e-08	2.01886e-08
   501	1.94128e-10	2.0015e-08	2.02091e-08
   502	2.84367e-10	2.0015e-08	2.02994e-08
   503	1.80114e-10	2.0015e-08	2.01951e-08
   504	1.68732e-10	2.0015e-08	2.01837e-08
   505	2.2018e-10	2.0015e-08	2.02352e-08
   506	1.76516e-10	2.0015e-08	2.01915e-08
   507	1.7405e-10	2.0015e-08	2.0189e-08
   508	1.75108e-10	2.0015e-08	2.01901e-08
   509	1.8059e-10	2.0015e-08	2.01956e-08
